"seconds_since_Jan_1_1900","ref_co2_ppm","datetime_utc"
3968956800,457.88,"2025-10-09 00:00:00"
3968957100,452.99,"2025-10-09 00:05:00"
3968957400,452.19,"2025-10-09 00:10:00"
3968957700,455.26,"2025-10-09 00:15:00"
3968958000,455.41,"2025-10-09 00:20:00"
3968958300,455.55,"2025-10-09 00:25:00"
3968958600,454.02,"2025-10-09 00:30:00"
3968958900,455.86,"2025-10-09 00:35:00"
3968959200,455.38,"2025-10-09 00:40:00"
3968959500,456.25,"2025-10-09 00:45:00"
3968959800,462.74,"2025-10-09 00:50:00"
3968960100,466.72,"2025-10-09 00:55:00"
3968960400,461.68,"2025-10-09 01:00:00"
3968960700,461.3,"2025-10-09 01:05:00"
3968961000,461.98,"2025-10-09 01:10:00"
3968961300,468.93,"2025-10-09 01:15:00"
3968961600,474.86,"2025-10-09 01:20:00"
3968961900,471.63,"2025-10-09 01:25:00"
3968962200,469.49,"2025-10-09 01:30:00"
3968962500,464.19,"2025-10-09 01:35:00"
3968962800,463.3,"2025-10-09 01:40:00"
3968963100,462.65000000000003,"2025-10-09 01:45:00"
3968963400,459.45,"2025-10-09 01:50:00"
3968963700,462.01,"2025-10-09 01:55:00"
3968964000,468.84000000000003,"2025-10-09 02:00:00"
3968964300,464.90000000000003,"2025-10-09 02:05:00"
3968964600,463.,"2025-10-09 02:10:00"
3968964900,463.66,"2025-10-09 02:15:00"
3968965200,462.37,"2025-10-09 02:20:00"
3968965500,461.44,"2025-10-09 02:25:00"
3968965800,462.58,"2025-10-09 02:30:00"
3968966100,459.91,"2025-10-09 02:35:00"
3968966400,457.,"2025-10-09 02:40:00"
3968966700,455.86,"2025-10-09 02:45:00"
3968967000,456.06,"2025-10-09 02:50:00"
3968967300,454.86,"2025-10-09 02:55:00"
3968967600,456.08,"2025-10-09 03:00:00"
3968967900,453.48,"2025-10-09 03:05:00"
3968968200,452.99,"2025-10-09 03:10:00"
3968968500,452.93,"2025-10-09 03:15:00"
3968968800,455.52,"2025-10-09 03:20:00"
3968969100,456.68,"2025-10-09 03:25:00"
3968969400,456.81,"2025-10-09 03:30:00"
3968969700,458.85,"2025-10-09 03:35:00"
3968970000,457.31,"2025-10-09 03:40:00"
3968970300,458.37,"2025-10-09 03:45:00"
3968970600,457.01,"2025-10-09 03:50:00"
3968970900,457.45,"2025-10-09 03:55:00"
3968971200,460.99,"2025-10-09 04:00:00"
3968971500,458.25,"2025-10-09 04:05:00"
3968971800,458.75,"2025-10-09 04:10:00"
3968972100,460.77,"2025-10-09 04:15:00"
3968972400,464.33,"2025-10-09 04:20:00"
3968972700,464.24,"2025-10-09 04:25:00"
3968973000,467.28000000000003,"2025-10-09 04:30:00"
3968973300,464.68,"2025-10-09 04:35:00"
3968973600,461.77,"2025-10-09 04:40:00"
3968973900,463.32,"2025-10-09 04:45:00"
3968974200,462.6,"2025-10-09 04:50:00"
3968974500,460.12,"2025-10-09 04:55:00"
3968974800,462.81,"2025-10-09 05:00:00"
3968975100,464.33,"2025-10-09 05:05:00"
3968975400,463.31,"2025-10-09 05:10:00"
3968975700,459.89,"2025-10-09 05:15:00"
3968976000,459.96000000000004,"2025-10-09 05:20:00"
3968976300,462.58,"2025-10-09 05:25:00"
3968976600,466.89,"2025-10-09 05:30:00"
3968976900,469.16,"2025-10-09 05:35:00"
3968977200,464.28000000000003,"2025-10-09 05:40:00"
3968977500,462.74,"2025-10-09 05:45:00"
3968977800,461.63,"2025-10-09 05:50:00"
3968978100,465.02,"2025-10-09 05:55:00"
3968978400,464.78000000000003,"2025-10-09 06:00:00"
3968978700,461.27,"2025-10-09 06:05:00"
3968979000,461.12,"2025-10-09 06:10:00"
3968979300,460.27,"2025-10-09 06:15:00"
3968979600,458.71000000000004,"2025-10-09 06:20:00"
3968979900,459.48,"2025-10-09 06:25:00"
3968980200,457.75,"2025-10-09 06:30:00"
3968980500,454.73,"2025-10-09 06:35:00"
3968980800,451.54,"2025-10-09 06:40:00"
3968981100,451.26,"2025-10-09 06:45:00"
3968981400,450.6,"2025-10-09 06:50:00"
3968981700,449.43,"2025-10-09 06:55:00"
3968982000,450.27,"2025-10-09 07:00:00"
3968982300,452.13,"2025-10-09 07:05:00"
3968982600,454.76,"2025-10-09 07:10:00"
3968982900,455.79,"2025-10-09 07:15:00"
3968983200,457.25,"2025-10-09 07:20:00"
3968983500,458.32,"2025-10-09 07:25:00"
3968983800,458.31,"2025-10-09 07:30:00"
3968984100,458.88,"2025-10-09 07:35:00"
3968984400,461.18,"2025-10-09 07:40:00"
3968984700,463.89,"2025-10-09 07:45:00"
3968985000,461.09000000000003,"2025-10-09 07:50:00"
3968985300,457.74,"2025-10-09 07:55:00"
3968985600,459.25,"2025-10-09 08:00:00"
3968985900,462.22,"2025-10-09 08:05:00"
3968986200,456.89,"2025-10-09 08:10:00"
3968986500,456.7,"2025-10-09 08:15:00"
3968986800,458.25,"2025-10-09 08:20:00"
3968987100,457.19,"2025-10-09 08:25:00"
3968987400,454.01,"2025-10-09 08:30:00"
3968987700,453.54,"2025-10-09 08:35:00"
3968988000,453.78000000000003,"2025-10-09 08:40:00"
3968988300,451.91,"2025-10-09 08:45:00"
3968988600,449.11,"2025-10-09 08:50:00"
3968988900,448.34000000000003,"2025-10-09 08:55:00"
3968989200,449.15000000000003,"2025-10-09 09:00:00"
3968989500,447.24,"2025-10-09 09:05:00"
3968989800,447.90000000000003,"2025-10-09 09:10:00"
3968990100,444.89,"2025-10-09 09:15:00"
3968990400,442.5,"2025-10-09 09:20:00"
3968990700,443.98,"2025-10-09 09:25:00"
3968991000,443.33,"2025-10-09 09:30:00"
3968991300,443.41,"2025-10-09 09:35:00"
3968991600,442.69,"2025-10-09 09:40:00"
3968991900,441.44,"2025-10-09 09:45:00"
3968992200,439.74,"2025-10-09 09:50:00"
3968992500,439.68,"2025-10-09 09:55:00"
3968992800,440.21000000000004,"2025-10-09 10:00:00"
3968993100,440.69,"2025-10-09 10:05:00"
3968993400,442.26,"2025-10-09 10:10:00"
3968993700,443.53000000000003,"2025-10-09 10:15:00"
3968994000,443.29,"2025-10-09 10:20:00"
3968994300,445.24,"2025-10-09 10:25:00"
3968994600,445.89,"2025-10-09 10:30:00"
3968994900,444.66,"2025-10-09 10:35:00"
3968995200,443.72,"2025-10-09 10:40:00"
3968995500,447.38,"2025-10-09 10:45:00"
3968995800,452.28000000000003,"2025-10-09 10:50:00"
3968996100,450.35,"2025-10-09 10:55:00"
3968996400,451.27,"2025-10-09 11:00:00"
3968996700,448.48,"2025-10-09 11:05:00"
3968997000,444.76,"2025-10-09 11:10:00"
3968997300,445.52,"2025-10-09 11:15:00"
3968997600,445.25,"2025-10-09 11:20:00"
3968997900,444.61,"2025-10-09 11:25:00"
3968998200,443.73,"2025-10-09 11:30:00"
3968998500,443.23,"2025-10-09 11:35:00"
3968998800,440.,"2025-10-09 11:40:00"
3968999100,440.56,"2025-10-09 11:45:00"
3968999400,441.87,"2025-10-09 11:50:00"
3968999700,443.24,"2025-10-09 11:55:00"
3969000000,442.56,"2025-10-09 12:00:00"
3969000300,442.64,"2025-10-09 12:05:00"
3969000600,442.31,"2025-10-09 12:10:00"
3969000900,442.82,"2025-10-09 12:15:00"
3969001200,443.,"2025-10-09 12:20:00"
3969001500,443.41,"2025-10-09 12:25:00"
3969001800,443.05,"2025-10-09 12:30:00"
3969002100,441.67,"2025-10-09 12:35:00"
3969002400,439.26,"2025-10-09 12:40:00"
3969002700,438.78000000000003,"2025-10-09 12:45:00"
3969003000,439.94,"2025-10-09 12:50:00"
3969003300,441.65000000000003,"2025-10-09 12:55:00"
3969003600,441.85,"2025-10-09 13:00:00"
3969003900,441.99,"2025-10-09 13:05:00"
